simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	gps_time	geocent_end_time	geocent_end_time_ns
377	4.0064508	0.55932509	2.438276	349.34808	2.8279648	1.3269785	-0.35918127	-0.109268	1015085224.534301	1015085224	543776035
380	5.3649268	-1.3659825	0.80222492	530.61357	2.1308291	1.4303832	0.058737205	0.053401237	1029382868.935522	1029382868	928662300
382	5.5478387	-0.518252	2.1130452	2333.3559	2.2957058	2.1710636	0.17602484	0.025677442	1009320592.056492	1009320592	55791259
383	0.13819433	0.52349043	0.16069659	207.43423	1.7839207	1.3414591	0.069003987	-0.14698511	1000012257.680501	1000012257	698272705
385	5.9499405	-0.5677146	2.6785758	311.62405	1.7761808	1.3345484	0.085204798	0.15280451	1008054133.95873	1008054133	945603371
405	4.0643852	-0.81783086	2.8614378	334.66869	2.3102968	2.063834	0.15269653	-0.20211691	1020828445.092451	1020828445	88104725
428	3.1695342	-0.29969188	0.27127156	174.73133	1.6598861	1.1719522	-0.0065856313	0.35775463	1001846157.123321	1001846157	116204023
448	0.9133168	-0.53773348	0.9186629	646.90298	2.4544932	2.2901167	0.21625398	0.1162805	1012651311.873865	1012651311	852686644
458	0.49425428	-0.27872384	2.4760497	148.24095	1.6714266	1.5352826	0.18918163	0.0088543058	1027689779.725637	1027689779	735032320
468	0.12728336	0.42708612	0.15337759	878.32902	2.4899198	2.299002	0.039090449	0.032748213	1002703959.822094	1002703959	833847046
469	4.6929644	-1.2154043	1.9058593	174.85563	1.6428629	1.2679798	-0.11542021	-0.013673877	1015312225.157647	1015312225	144012094
494	3.6996903	-0.45896152	3.0596637	677.28975	2.8913007	2.2957578	0.012865174	-0.20966178	1015865500.74905	1015865500	737268567
499	2.3319136	-0.24578845	0.84446245	164.89563	2.1051137	2.085265	-0.0044839889	0.27945001	1013277039.063577	1013277039	43055058
503	3.5501993	0.15713188	0.3248314	585.95391	2.1044217	1.4394122	-0.12818513	-0.0095734029	1004125276.697447	1004125276	710177302
509	5.710239	0.24358993	3.0334561	686.11364	3.0135547	2.170681	0.021057292	0.058192513	1019815100.8728	1019815100	886276007
514	5.6560177	1.3021828	0.78530953	191.30235	2.3534176	1.2375303	-0.13970581	0.035427105	1006460162.691763	1006460162	706528068
522	4.5033931	0.91068077	2.3536608	217.60694	1.6734631	1.666221	-0.07632128	-0.080922883	1001246648.581594	1001246648	595155954
541	0.36373373	-0.26538623	2.4102345	780.16446	2.8313761	2.732072	-0.0055524807	-0.038039484	1017042205.914588	1017042205	897460580
551	6.2327545	0.82587335	1.1725777	370.08801	2.1406188	1.3244282	0.215504	-0.039505409	1009249387.698908	1009249387	719786406
557	0.66148678	-0.25975481	2.4338767	377.63738	2.6006206	1.4018829	-0.099055438	-0.27934405	1023594200.946218	1023594200	927675843
560	1.4446454	-0.64825676	1.9951249	152.30016	2.6814091	1.8149429	0.51784412	0.11402085	1005007997.707651	1005007997	693135977
564	3.5227149	-0.63114863	0.49742876	502.47339	1.9374494	1.9215735	-0.18150058	-0.011799041	1020875427.504801	1020875427	485867977
567	2.9291944	0.47724005	0.94930486	525.90195	1.735746	1.3674709	0.0051677397	0.0071201048	1028024667.421605	1028024667	429247737
572	1.8953151	-0.87674742	0.60799303	551.79314	2.7862238	1.7961361	0.11067934	0.16919409	1017165185.435855	1017165185	421127796
577	5.6036994	0.99036681	0.28154378	812.86671	2.8056982	2.6911635	-0.066927017	-0.23519161	1002510953.948272	1002510953	964609742
580	4.630322	-0.66546776	1.1815231	102.72643	1.8728536	1.3193222	0.29761696	-0.036155641	1021165267.999807	1021165267	986041784
587	2.0612686	-0.011974148	0.55749139	690.63327	2.4879669	1.6668983	0.064554926	0.11093722	1028876687.277467	1028876687	260358334
