simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	gps_time	geocent_end_time	geocent_end_time_ns
1838	6.0455641	0.27367184	2.4387865	606.63769	12.682289	2.5845644	-0.12471592	-0.22792857	1011318285.383747	1011318285	396858931
1897	1.2880272	1.0456438	2.8626611	585.73055	12.12272	2.8807352	0.080676116	0.33938006	1028547703.968584	1028547703	985597253
1915	5.3336145	-0.64246078	0.95247871	317.0021	22.725038	1.8459211	-0.0066546614	0.14038197	1007358434.892334	1007358434	877044678
2041	5.9641257	0.25676362	2.2361463	405.25655	6.7156289	1.8198122	0.11604229	-0.20881555	1007425399.049683	1007425399	66970348
2053	1.3164101	-0.0644138	2.655085	501.27421	4.5146029	1.988791	-0.17198339	-0.15949581	1004221048.849756	1004221048	833314300
2095	4.352725	-0.20932182	2.475205	343.57864	15.271431	2.2679107	0.76550084	0.027715663	1029161116.828401	1029161116	809924722
2106	4.5395402	-0.19260687	0.4677018	599.33582	14.546317	2.2738086	0.11719546	-0.027303142	1001681554.478027	1001681554	461209655
2211	5.6668552	-0.090546085	2.4039732	502.21383	4.152082	2.4834514	-0.0099781523	0.0031087571	1015739444.02269	1015739444	5710006
2251	2.602259	-0.027067084	0.25168223	864.16305	23.588875	2.0352439	0.63311794	0.013357307	1017595222.519026	1017595222	503783345
2309	3.7198671	-0.019783232	0.7554301	524.13393	13.20095	2.0329247	0.073262773	0.025958854	1024113099.881151	1024113099	896955729
2345	5.1051986	-1.3475471	1.2094943	500.72566	8.4123375	2.8896368	0.042564543	-0.16203137	1026058348.768724	1026058348	753300428
2414	4.3603062	0.94324499	2.2683971	624.74869	14.512015	2.6784546	0.26612557	-0.230044	1011693652.686523	1011693652	698763251
2441	2.3118228	0.27958155	1.6100898	357.10627	8.5493309	2.3316613	-0.16848989	-0.11883731	1011343457.884766	1011343457	902851343
2447	2.0875639	-1.2068765	2.5633063	488.43968	7.0975099	2.7876294	0.027041954	0.26734596	1014923410.619751	1014923410	606727719
2665	0.53591828	-0.90562684	2.2945179	722.50809	10.721806	1.993945	0.62968496	-0.049683394	1018422137.752928	1018422137	732807279
2666	5.2375422	0.29459992	1.8763702	242.8999	6.9000777	1.6417664	0.7354725	-0.0052334648	1031365038.574104	1031365038	593365550
2707	4.8411101	1.3641707	1.939758	219.71612	16.57963	1.7355577	-0.22180081	-0.024153909	1012297170.87561	1012297170	888948441
2844	3.5346405	-0.03865754	2.6575798	183.42897	10.36016	1.2253588	-0.14256983	0.076948959	1024941080.634155	1024941080	627866983
2851	4.8463831	0.68310934	2.4611651	1188.9605	13.469063	3.2912994	0.050750547	-0.046133256	1005767226.898232	1005767226	917885303
2938	2.7901468	0.94287256	0.74616858	580.79181	14.060439	1.5619296	0.432712	0.029279202	1002383571.3474	1002383571	367313147
2968	3.8026294	0.47164541	0.19055353	559.78227	7.619077	2.3682751	-0.1903343	0.25070647	1027659662.772461	1027659662	788440466
3008	2.3784859	0.25351372	0.68841728	102.37193	8.3470844	2.7279884	0.061537899	-0.087803016	1004139002.621151	1004139002	609464049
3115	1.6970604	-0.52109122	2.485849	1160.7233	8.3948688	3.216896	-0.23701804	-0.34270666	1029469489.191755	1029469489	171542525
3118	4.539576	-1.0000836	1.6456088	215.1975	7.0010088	1.1457782	-0.18520644	-0.15190376	1024360047.410271	1024360047	398530841
3137	0.92088574	0.53883783	2.5490138	894.57176	7.122089	2.3394265	-0.083912351	-0.052626618	1014682650.441562	1014682650	461447120
3310	1.4257877	0.79342125	2.2834774	619.6962	6.8486087	3.2212581	0.0096084588	0.65491267	1001241618.70489	1001241618	724837661
3321	6.0410719	0.49696838	0.46757919	1365.5673	10.498397	2.2359177	0.58237768	0.30117272	1010870359.908637	1010870359	928934097
3362	5.4636732	-1.0435284	2.3561078	343.98268	7.4113064	1.9379432	0.19469687	-0.11360336	1021167915.609985	1021167915	589433551
3394	2.4523426	-0.19326564	2.2241925	625.53733	7.4419243	3.3750525	0.79491755	0.11955278	1028959765.307045	1028959765	288706303
3650	2.6107088	0.34136205	1.4363267	243.86311	18.000282	1.7510206	0.017739913	-0.20151405	1000224356.778098	1000224356	796983242
3653	5.1665928	1.0812983	2.3071369	420.28743	12.454358	1.597499	0.070183264	0.178507	1003959186.671265	1003959186	688650608
3745	6.18627	0.49334932	2.2977828	329.54705	8.605931	2.6360269	0.0085937284	0.25562282	1031119657.075706	1031119657	95576406
