coinc_event_id	ifos	snr
0	H1,K1,L1,V1	9.784573459034879
1	H1,K1,L1,V1	8.831118857554092
2	H1,K1,L1,V1	11.3625628579041
3	H1,L1,V1	16.29420479667008
4	H1,K1,L1,V1	13.95735517749003
5	H1,K1,V1	11.31480863276113
6	H1,L1,V1	8.764548877455708
7	K1,L1,V1	9.407026053437038
8	H1,K1,V1	18.51942688788047
9	H1,L1,V1	8.009612894525551
10	H1,K1,L1,V1	8.817748643930718
11	H1,K1,L1,V1	9.45462491625946
12	L1,V1	8.824346733960239
13	H1,K1,L1	12.26399205792842
14	K1,L1,V1	11.88241572845386
15	H1,K1,L1	8.058295073829772
16	K1,V1	9.438059683281768
17	H1,K1,L1,V1	20.93087355800083
18	H1,K1,L1,V1	8.394219043945947
19	H1,K1,V1	12.96011234437132
20	H1,K1,V1	12.76622785288386
21	K1,L1,V1	8.169840307351437
22	H1,L1	8.016498916997584
23	H1,V1	10.12329099342483
24	H1,V1	10.05996758613374
25	H1,K1,L1,V1	14.14974703639822
26	H1,L1,V1	8.348487347035157
27	H1,L1,V1	9.384817372049037
28	H1,K1,V1	38.99748692700232
29	L1	20.82271217546557
30	H1,L1	17.98957984275381
31	H1,L1	8.657498407456789
32	H1,K1,L1,V1	16.21534573435153
33	H1,K1,L1,V1	9.345092462243727
34	H1,L1,V1	10.42979075133313
35	H1,K1,L1,V1	9.547628776710342
36	H1,K1,L1,V1	8.169722028046071
37	H1,K1,L1,V1	9.828841892997081
38	K1,L1,V1	15.75523770068835
39	K1,L1,V1	8.557224149126416
40	H1,L1,V1	8.21631649434957
41	H1,K1,L1,V1	9.900639333169096
42	H1,K1,V1	8.143749796646819
43	H1,K1,L1,V1	11.80264338333937
44	H1,L1,V1	9.308892192886789
45	H1,K1,L1,V1	12.06547500371426
46	H1,L1,V1	8.56765644279438
47	H1,K1	8.180035012697285
48	H1,K1,L1,V1	9.768570037078065
49	H1,K1,L1,V1	10.61308681842614
50	H1,L1,V1	8.783444176035394
51	H1,K1,L1	10.59860606405874
52	H1,L1,V1	12.3928476879423
53	H1,K1,L1,V1	11.39548698606249
54	H1,K1,V1	13.1003890778779
55	H1,K1,L1	83.00827615091302
56	H1,K1,L1,V1	13.06257261167594
