coinc_event_id	ifos	snr
0	H1,L1,V1	8.726216697476167
1	H1,L1,V1	10.60871627042633
2	H1,L1,V1	8.615203084577812
3	H1,L1,V1	9.454405434976733
4	H1,V1	8.555449038508584
5	H1,L1,V1	13.16127071912154
6	H1,L1	15.49576204140553
7	H1,L1	9.051763797436081
8	H1,L1,V1	21.07101155752061
9	H1,L1,V1	26.80442908564524
10	H1,L1	10.82997559991212
11	H1,L1,V1	10.55620317154638
12	L1,V1	45.44404916738343
13	H1,L1,V1	9.588606414477876
14	H1,V1	12.03058235836381
15	L1	10.02088945019244
16	H1,V1	52.00501036302774
17	H1,L1,V1	10.70139996588539
18	H1,L1,V1	8.036292785049843
19	H1,L1,V1	8.05264124562227
20	H1,L1,V1	8.723848568855734
21	H1,V1	14.62758243817385
22	L1	9.69698066357088
23	H1,L1,V1	8.131339789384594
24	H1,L1	11.86839012054329
25	H1,L1,V1	11.13401988507293
26	H1,V1	9.547475572263556
27	H1,L1	10.01721454027881
28	H1,L1,V1	16.82753821345883
29	H1,L1	10.21688061404959
30	H1,L1,V1	8.546188714549279
31	H1,L1	8.761852781937288
32	L1,V1	8.969424276761371
33	H1,L1,V1	12.74029954977061
34	H1,L1,V1	16.33405171501501
35	H1,L1,V1	12.64400157841909
36	H1,L1,V1	8.099059597218773
37	L1,V1	8.230178767270115
38	H1,L1,V1	8.247360755111339
39	H1,L1,V1	8.107777993325806
40	H1,L1,V1	9.31731489023999
41	H1	13.33499589040585
42	H1,L1,V1	8.40916758788479
43	H1,L1	11.97202687089701
44	H1,L1,V1	12.07857365154169
45	H1,L1,V1	8.689061111154787
46	H1,L1,V1	13.03765989739245
47	H1,L1,V1	17.38193481939149
48	H1,V1	10.78865267663059
49	H1,L1,V1	8.174890745959646
50	H1,L1,V1	9.069125920107533
51	H1,L1,V1	8.6136451905488
52	H1,L1,V1	23.1229859557288
53	H1,L1,V1	9.191519503518736
54	H1,L1,V1	10.19363392944746
55	H1,L1,V1	13.09690446472313
56	H1,L1,V1	9.842307197082755
57	H1,L1,V1	9.35329905563116
58	H1,L1	10.59222613857263
59	H1,L1,V1	8.313728867980071
60	H1,V1	8.968259749106878
61	H1,L1,V1	13.50111211563119
62	H1,L1,V1	8.082241543137984
63	H1,L1,V1	8.007418175041632
64	H1,L1	10.98968627047818
65	H1,L1,V1	12.32428770756725
66	H1	8.870177900602636
67	H1,L1,V1	8.001462898409537
68	H1,L1,V1	11.65835139195216
69	H1,L1,V1	9.888359634268614
70	H1,L1,V1	8.460560407969853
71	H1,V1	11.8629697014572
72	H1,L1	10.34024291442877
73	H1,L1	9.213018928953943
74	H1,L1	10.21690853063174
75	H1,L1,V1	11.21851851633413
76	H1,L1	10.25424794277064
77	H1,L1,V1	8.003098076510009
78	H1,L1,V1	8.624145393858235
79	H1,V1	8.605629625029383
80	H1,L1,V1	8.426231269483413
81	H1,L1,V1	9.94072617434351
82	L1	9.331936912039737
83	H1,L1,V1	12.89407001672628
84	H1,V1	10.22048720548117
85	H1,L1,V1	13.34149477923349
86	L1	12.13538769534621
87	H1,L1,V1	11.88115019795072
88	H1,L1,V1	8.115597924958745
89	H1,L1,V1	11.3671870182688
90	H1,L1,V1	8.831786490013545
91	H1,L1,V1	8.431339421781082
92	H1,L1,V1	8.11426217926371
93	H1,V1	8.79505986383159
94	H1,L1,V1	9.23290057384539
95	H1,L1,V1	9.121555110954374
96	H1,L1,V1	10.4624550338019
97	H1,V1	12.85685786172068
98	H1,V1	8.538941139904711
99	H1,L1	8.640438978968218
100	H1,L1,V1	10.79035755315213
101	H1,L1,V1	10.83885356241648
102	H1,L1,V1	12.57248122116109
103	H1,L1,V1	8.990277095092239
104	L1,V1	12.57844153349235
105	H1,L1,V1	8.567495256573865
106	H1,L1,V1	10.40956634219942
107	H1,L1	9.720596199939017
108	H1,L1,V1	8.026140566330742
109	L1,V1	12.78118214714717
110	H1,L1,V1	11.03990412731336
111	H1,L1,V1	8.978527177401054
112	H1,L1,V1	9.665778476111713
113	H1,L1,V1	8.043232911870149
114	H1,L1,V1	8.117819477487556
115	L1	8.293060379930781
116	H1,L1,V1	9.165331406721041
117	H1,L1,V1	17.02688657968635
118	H1,L1	8.318585422374893
119	H1,L1,V1	8.308267702784136
120	H1,L1,V1	10.02617045543191
121	H1,L1,V1	8.223195014301808
122	L1	20.88844615667226
123	L1,V1	9.165153409914849
124	H1,L1,V1	9.351413106681594
125	H1,L1,V1	9.775686792229449
126	H1,L1,V1	9.270362933613077
127	L1,V1	9.588265021715916
128	H1,V1	10.78702927258725
129	H1,L1,V1	9.675442887044285
130	H1,L1,V1	8.523835269576207
131	H1,L1,V1	11.03562840936863
132	H1,L1	8.51728364202329
133	H1,L1,V1	8.597277738311149
134	H1,L1	17.01308023226517
135	H1,L1	9.883742679067433
136	H1,L1,V1	16.41868137540919
137	H1,L1,V1	9.487532686653624
138	L1	10.7167223572619
139	L1,V1	10.98456593918817
140	L1,V1	9.899069099099933
141	H1,V1	8.892602130812872
142	H1,L1	8.458422743712946
143	H1,L1,V1	9.135394141941289
144	H1,L1,V1	11.22288156845774
145	H1,L1,V1	8.249707572417018
146	H1,L1	9.365908291301231
147	H1,L1,V1	8.493334303987476
148	H1,L1,V1	8.253488158250965
149	H1,L1,V1	9.079273937875806
150	L1,V1	8.143606589501292
151	H1,V1	9.306246019925718
152	H1,L1,V1	9.437829805848866
153	H1,L1	11.62616697695029
154	H1,L1,V1	9.00899160195824
155	L1,V1	15.00369934948902
156	H1,L1,V1	8.324589088644538
