simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	gps_time	geocent_end_time	geocent_end_time_ns
18	2.7476572	-1.2241757	2.8669594	1329.0568	3.2124932	2.6567653	0.28543241	0.066467231	1026228046.743247	1026228046	732053757
28	3.70423	0.69447503	0.19379682	1431.1591	3.2200151	2.412471	0.17306622	0.037548156	1021593410.806271	1021593410	819823503
31	3.7971859	0.87535684	0.38678959	203.77752	2.0644817	1.6678797	-0.061078237	-0.00031229967	1026305955.47963	1026305955	487770796
33	5.5552748	-0.033335504	2.5617974	990.24068	2.3570779	2.1939965	-0.070755765	0.042704928	1010393985.986953	1010393985	970815659
40	1.0518533	0.45252743	2.1388016	636.00892	1.6066077	1.5579268	0.20805769	0.069469268	1001422567.403697	1001422567	417611599
41	1.277467	0.27687017	0.54791956	952.73124	2.8734913	2.3377556	-0.084361384	0.16737103	1001213750.643706	1001213750	642399311
52	2.4513505	-0.22354046	0.33238289	794.15504	1.5410661	1.4319393	0.089587028	-0.1277231	1025170823.491941	1025170823	473563671
57	4.5625499	-0.0033924737	0.32873468	636.56451	1.9580471	1.4436337	-0.059587195	-0.017365953	1027784823.797446	1027784823	782459617
62	0.17145007	0.40632663	0.63911067	684.78589	1.830751	1.6839048	0.0071703854	-0.12456184	1002087341.133864	1002087341	154832840
63	5.6884721	0.11746066	2.4076972	782.39912	2.1029538	1.6288307	-0.036435074	-0.28413161	1006205723.902582	1006205723	915795922
67	5.8845313	-0.62850955	0.82015032	253.34232	1.3904542	1.3504922	-0.018672493	0.0047377573	1024873390.523193	1024873390	502776980
82	0.22270614	0.70805593	1.8320307	649.05877	1.5540701	1.3447901	-0.083763635	0.0026482701	1012858396.907208	1012858396	931550026
91	3.3950243	-0.33706707	2.3010108	487.65838	2.1821147	1.9537788	-0.14975753	-0.052046308	1022464119.950723	1022464119	957714438
95	1.4256659	-1.163838	1.2945891	403.43998	1.795996	1.2253143	0.20242059	-0.1988663	1029127329.860171	1029127329	843686223
97	0.59251636	-1.2848864	0.045897956	1494.7088	1.928245	1.8253686	0.039933479	-0.29873818	1025167523.116631	1025167523	105770946
102	3.1877311	0.031799557	1.0878383	334.06311	1.933592	1.6135121	0.083979808	-0.041512105	1009267768.025805	1009267768	21252394
106	3.6029505	-0.86447741	2.8300176	1732.5892	3.1777757	1.62137	0.063266209	0.053756537	1006234331.10788	1006234331	84162116
114	1.8504877	-0.031823257	0.82568036	985.2756	2.0127456	1.5978086	0.013353342	0.08471238	1022575855.056644	1022575855	42218208
120	2.2987218	-0.66782778	2.2454705	679.47093	2.2338542	1.8039441	-0.014156928	0.24071834	1011722560.262486	1011722560	242466450
125	0.71179619	-0.57124169	0.43502244	1508.7715	1.9867661	1.5827824	0.14952428	-0.0062670534	1010754956.408874	1010754956	390092254
142	1.786631	0.68409147	0.40715415	968.3002	2.4780567	2.0885843	0.10602717	0.011452219	1021484473.975607	1021484473	992090106
163	4.6016685	-0.43314576	2.5337191	683.21822	2.072693	2.0007311	0.033413632	-0.039196389	1021736063.512061	1021736063	501402736
164	5.3373964	0.1944663	2.1127356	109.18523	2.0442393	1.8805364	-0.010546948	0.1791654	1014507033.265952	1014507033	270133138
165	5.6967739	0.28608051	0.4561375	1053.6815	2.8496958	1.9786197	0.0088717009	0.11477547	1012250754.755656	1012250754	768788338
170	5.7311327	0.79517612	0.80954091	404.6626	1.6355546	1.5399625	-0.2244059	-0.24093392	1011973667.351031	1011973667	365812659
173	0.20515139	1.1293232	0.9209096	1291.6482	2.1105868	1.6599691	-0.016229782	-0.35993848	1000621667.402206	1000621667	423689842
175	5.7735064	0.17923819	0.4441044	1108.032	3.0875891	2.686436	0.93348681	-0.05929994	1025909402.80208	1025909402	794589043
177	4.8158785	-0.38728304	2.9822675	1004.0505	2.2526888	1.684926	0.056411925	0.34203432	1014594977.782157	1014594977	765577435
180	4.7244838	0.055420077	2.6755138	441.27134	1.4882069	1.3371476	0.15605055	-0.0087809637	1019115986.799803	1019115986	810355186
184	1.4531814	0.43086688	0.52270233	2609.6305	3.4562466	2.8506263	-0.013775604	-0.046753609	1016233042.639728	1016233042	655141592
188	0.66535425	-0.12373146	2.818656	817.73502	3.2814075	1.9929941	0.0481763	0.011912023	1006236364.247032	1006236364	261778712
191	4.6484458	0.3994863	0.98852277	364.32633	2.6514664	2.3107894	-0.023298977	0.090424504	1008267304.9438	1008267304	960808992
192	1.4484263	-0.63576369	0.93861788	448.18259	1.4572089	1.3690921	0.063058358	0.090639594	1004656958.434687	1004656958	426042318
198	5.6862092	0.62721463	2.3336412	2265.5239	3.7700404	3.4961495	-0.19903102	0.3313496	1004831939.336476	1004831939	352582812
203	0.4239015	0.16744121	2.2705218	658.525	1.7755725	1.38762	0.0015586541	-0.070639334	1018622305.455747	1018622305	470410943
205	4.7860584	0.68903642	0.77036909	560.15262	2.0983436	1.9028899	0.10580751	-0.10818991	1027044713.65344	1027044713	670532346
218	0.74084987	-0.15450337	2.4096784	426.23695	1.6544894	1.3264401	-0.17437433	0.014066261	1009003750.628383	1009003750	633914471
221	0.69248865	-1.04349	1.7904534	576.12412	1.4024067	1.3481265	-0.23802956	0.13992303	1029357121.170591	1029357121	160189986
222	6.0422185	-0.82245846	2.5673898	545.33757	1.9182535	1.768172	-0.058888052	0.1796802	1000314673.442393	1000314673	422108650
227	3.0608573	0.70943968	1.5734348	305.17467	1.8202817	1.3795389	0.28771393	-0.17642647	1005475624.705655	1005475624	720668554
235	3.1244503	0.86260888	0.46937215	2612.3078	3.8654632	3.017764	-0.36956739	-0.20486615	1029525369.988469	1029525370	9692430
245	6.1140288	0.38822606	2.2823534	958.79387	1.8107593	1.757589	-0.058990229	-0.098585143	1027511030.096956	1027511030	112923741
259	5.3942362	-0.75930781	1.1613845	121.54648	2.1086698	1.526639	-0.042715258	-0.024932431	1019348129.474041	1019348129	454129219
260	2.4581263	-1.4129542	2.079836	855.39977	2.1154404	1.8841901	0.033234376	-0.06807238	1013607252.470167	1013607252	451226711
262	3.1153562	0.30342824	2.4094622	580.36057	2.395743	1.7497936	-0.21520278	-0.13601798	1009588663.220032	1009588663	214059472
270	3.0974585	-0.68239946	1.1365684	344.0688	2.1439442	1.8522262	0.18643766	0.028163082	1011303961.824698	1011303961	804257751
272	4.9866342	-0.046079493	2.3925642	298.50195	1.3298606	1.3163821	-0.055504767	0.1120478	1005486343.254956	1005486343	256398320
277	0.54721239	1.3310304	2.8003542	992.54349	1.7224492	1.7062564	-0.14723454	-0.24981757	1003738438.898746	1003738438	907295108
283	0.061813101	-0.56008765	0.90658604	9294.0012	5.7709442	4.6253839	-0.020847847	0.2822839	1001623602.686826	1001623602	675587058
285	0.22181978	-1.0038999	1.7644685	536.96051	2.3834741	2.2964209	-0.012035352	-0.28122487	1015152164.702467	1015152164	683887959
286	6.0829405	0.011300149	2.0807282	1045.8083	3.285148	2.6732202	0.0028898873	0.29833243	1024670460.312878	1024670460	317039728
298	0.64996012	-0.53496933	2.6347221	1102.523	1.8711699	1.4542422	-0.17147079	0.03205951	1017225855.663778	1017225855	654101849
299	2.3847226	-0.85391502	1.2962211	6039.0203	3.8619451	3.3224111	0.19997208	-0.11047866	1028078378.039981	1028078378	27335405
302	2.4400603	1.3253426	0.62853526	480.1554	1.2829361	1.268497	-0.16160724	-0.3554233	1028999168.399976	1028999168	418889999
306	5.3009943	0.73230499	2.1752874	576.44238	1.6063822	1.5057559	-0.038179486	0.014943726	1017320056.45722	1017320056	473621726
312	2.2096953	0.56785151	0.57633234	1007.8835	3.1569042	3.0334794	0.18349578	-0.63860464	1009134511.78465	1009134511	783901453
318	5.8981468	0.058671865	1.1871384	745.41318	1.4601096	1.3327618	-0.11505023	-0.14353482	1019362594.640834	1019362594	634475589
322	1.9603628	0.20258853	0.507378	687.5665	3.0013675	2.6740986	-0.67841936	0.013201914	1015190941.478814	1015190941	478508472
324	2.5839529	0.57273647	2.8458794	400.68061	2.6723043	1.9319918	-0.048381119	-0.098921336	1000710734.79484	1000710734	807611346
328	2.8824834	-0.18194166	2.6717784	1137.3115	2.7910718	1.6215094	-0.20098257	0.14852518	1014232326.510391	1014232326	496415257
329	1.2494087	-0.65017802	0.67286493	410.86948	1.4371049	1.3249269	-0.094824593	-0.1213783	1001881688.425876	1001881688	405323625
330	3.830283	0.24040831	2.468018	508.66902	1.9397017	1.7345837	-0.16166318	0.20953222	1016060960.876127	1016060960	869002700
331	2.3893545	-0.25865662	0.63523167	1145.2382	2.3627408	1.6470892	0.044336451	0.17051148	1005607761.864144	1005607761	847602844
334	0.78230303	-0.84910351	0.82161027	838.98467	2.9186901	1.4813693	0.29263527	0.2778707	1022822197.326029	1022822197	301938534
337	5.6849784	0.34444741	2.7051953	617.1433	2.3454098	1.3233017	0.023428771	0.28008923	1019486791.456252	1019486791	476173997
361	1.9339128	0.67520258	2.4848932	931.36833	2.7271726	2.3107575	0.18158781	0.2778217	1021707980.43049	1021707980	428154230
366	2.4041229	-0.2547009	2.3868201	553.44248	2.0246817	1.7039035	0.22321454	0.056009632	1017343028.926429	1017343028	913434625
369	5.0911362	-0.60856262	2.7314051	2626.2125	4.0598274	3.8900702	-0.11083175	0.091303644	1000818692.542399	1000818692	527607679
373	3.3109261	-0.10375101	2.8659604	569.00395	1.8276755	1.636595	0.0015783962	0.23619279	1008437210.505878	1008437210	511837363
376	3.7210825	0.21674095	0.98190121	938.27524	2.0337177	1.9013562	0.008693928	0.052078346	1010835982.99391	1010835983	9666920
