coinc_event_id	ifos	snr
0	H1,K1,L1,V1	9.163670319644556
1	H1,K1,V1	8.319769028347862
2	H1,K1,L1	9.299259281872681
3	H1,K1,L1	12.14679709633898
4	H1,L1,V1	8.008793610433436
5	H1,K1,V1	10.42302266266458
6	H1,K1,L1,V1	9.152097578458006
7	H1,K1,L1,V1	9.129954136421629
8	H1,K1,L1,V1	10.46658986618701
9	H1,L1,V1	11.00683682028598
10	K1,L1,V1	10.44417815932167
11	H1,K1,L1	8.294273513968466
12	H1,K1,L1,V1	12.47490320927459
13	L1,V1	12.94783700797299
14	H1,K1,L1,V1	10.79511755868843
15	H1,K1,L1,V1	11.59736544660152
16	H1,K1,L1,V1	13.60398352081229
17	H1,K1,L1,V1	8.087559182038685
18	H1,K1,L1	23.72975784934901
19	H1,K1,L1,V1	8.159523129136016
20	H1,K1,L1,V1	8.130612035901697
21	H1,K1,L1,V1	8.440145971120176
22	H1,K1,L1,V1	10.60973633343771
23	H1,K1,V1	8.213834100760979
24	H1,K1,L1,V1	12.20803046541025
25	H1,V1	8.511253549361385
26	H1,K1,L1,V1	8.376437067703245
27	H1,K1,L1	8.583362434130487
28	H1,K1,L1,V1	8.500757259338252
29	H1,K1,L1,V1	12.22020645579908
30	H1,K1,L1,V1	8.037460084462484
31	H1,K1,L1	9.442071263460988
32	K1,L1,V1	10.43676383528054
33	H1,K1,L1,V1	9.134971930742044
34	K1,L1,V1	8.742669478000238
35	H1,K1,L1,V1	8.516127102890367
36	H1,K1,V1	8.354495574494404
37	H1,K1,L1,V1	8.072992845701508
38	H1,K1,L1,V1	8.195915303973406
39	H1,K1,L1,V1	9.142099632056723
40	H1,L1,V1	9.433031395262752
41	H1,L1	10.58232339037237
42	H1,K1,L1,V1	10.42005899736864
43	H1,K1,L1,V1	8.390827531200605
44	H1,K1,L1,V1	13.25228420688123
45	L1,V1	22.16534362732287
46	K1,L1,V1	8.034347385746498
47	H1,K1,L1,V1	10.52464132059285
48	H1,K1,V1	28.40234722906773
49	H1,K1,L1,V1	9.831699689904196
50	H1,K1,L1,V1	8.462189487861563
51	H1,K1	13.44523048257796
52	H1,L1	10.41339034723845
53	K1,L1,V1	70.8821703744905
54	H1,L1,V1	11.40589726000933
55	K1,L1,V1	16.5550785701462
56	H1,K1,L1,V1	8.018828335808308
57	H1,L1,V1	8.081539093746867
58	H1,K1,L1,V1	10.94083606318909
59	K1,L1,V1	10.35941325704447
60	H1,K1,L1,V1	11.1522095446724
61	H1,K1,L1,V1	17.64958457866599
62	H1,L1,V1	8.250597355758858
63	H1,K1,L1	12.31261104992027
64	H1,K1,L1,V1	11.09489195573608
65	H1,K1,L1,V1	8.226175555356759
66	H1,K1,L1,V1	8.063002507702929
67	K1,L1,V1	76.13596080762817
68	K1,L1	12.28990708172956
69	H1,K1,L1,V1	8.050481399933844
70	H1,L1,V1	9.632663341219661
71	H1,K1,V1	9.903902497162923
72	H1,K1,L1,V1	9.717362302305535
73	H1,K1,L1,V1	8.789460222064649
74	L1,V1	9.758316979558513
75	K1,L1	8.238001380641116
76	H1,K1,L1,V1	8.075970502420816
77	H1,L1,V1	8.071712666723515
78	H1,L1,V1	10.93863612237874
79	H1,K1,L1	8.097468970889206
80	H1,K1,L1,V1	9.912577040293884
81	H1,K1,L1,V1	8.708717206686194
82	H1,K1,L1,V1	8.138162295314629
83	K1,L1,V1	28.90481828047345
84	H1,K1,L1	10.59605595699933
85	H1,K1,L1,V1	9.099135073562488
86	H1,K1,L1	12.10951090204289
87	H1,K1,L1,V1	11.26410575055362
88	H1,L1,V1	8.546201131013481
89	L1,V1	18.26472733783158
90	H1,K1,L1,V1	8.903198563888653
91	H1,K1,L1,V1	9.052118804761616
92	K1,L1,V1	8.15855606247921
93	H1,K1	15.21606414580726
94	L1,V1	13.73612348230076
95	H1,K1,L1,V1	8.768847587848384
96	K1,L1,V1	8.317006001426465
97	K1,L1,V1	15.77002265269583
98	H1,K1,L1	8.857537338450452
99	H1,K1,L1,V1	8.524305690995691
100	K1,V1	12.87038183809731
101	H1,K1,L1,V1	8.492962383785164
102	H1,K1,L1,V1	9.453180883948187
103	H1,K1,L1,V1	8.272424367125732
104	H1,K1,L1,V1	8.894356249262639
105	K1,L1	9.739251713053861
106	H1,K1,L1,V1	8.006531493945367
107	H1,K1,L1,V1	8.6086258173712
108	H1,L1,V1	14.12316019981522
109	H1,K1,L1,V1	8.16380595704736
110	H1,L1,V1	11.85206870831291
111	H1,K1,L1,V1	8.420386318947829
112	H1,K1,L1,V1	8.830919417011231
113	H1,K1,L1,V1	9.387340942811745
114	H1,K1,L1,V1	11.28185256669976
115	H1,K1	10.03637490028381
116	H1,L1,V1	10.93504669349965
117	H1,K1,L1	8.485215333793168
118	H1,K1	8.121446476608112
119	H1,K1,L1,V1	12.3632710380888
120	H1,L1,V1	12.44439639571994
121	H1,L1,V1	11.49280431662747
122	H1,K1,V1	10.93022001826196
123	H1,K1	9.582632682976975
124	H1,L1,V1	17.91733909697562
125	H1,K1,L1,V1	26.88978707984061
126	H1,K1,L1	8.354532863691212
127	H1,L1,V1	8.151382600955085
128	H1,K1,L1	9.408809939718136
129	H1,K1,L1,V1	8.275113790472776
130	H1,K1,L1,V1	11.54582964582107
131	H1,K1	10.47399742624871
132	H1,K1,L1,V1	8.849864185154832
133	H1,K1,L1	8.242846336015024
134	H1,L1,V1	14.00971905592611
135	H1,K1,L1,V1	8.241137002799904
136	H1,K1,L1,V1	8.522522155832633
137	H1,K1,L1,V1	10.20541402236998
138	H1,K1,L1,V1	8.17491288397491
139	H1,K1,L1,V1	8.183132772776492
140	H1,K1,V1	8.577991238420731
141	H1,K1,L1,V1	15.0393768821704
142	K1,L1,V1	8.512208146596985
143	H1,K1,L1,V1	8.187524911987973
144	H1,K1,V1	8.062036444652161
145	K1,L1,V1	8.303738123798352
146	H1,K1,L1	9.767094866071849
147	H1,V1	9.440136361280207
148	H1,K1,L1,V1	15.56405515303735
149	H1,K1,V1	14.23174962260542
150	H1,K1,L1,V1	8.963074926797413
151	H1,K1,L1,V1	8.54004998539078
152	H1,K1,L1,V1	10.83712491766116
153	H1,L1,V1	10.32330224646287
154	H1,K1,L1,V1	11.55690796753438
155	H1,K1,L1,V1	8.717164058661401
156	H1,K1,L1,V1	8.991847349233092
157	H1,K1,L1,V1	8.018258107799996
158	H1,K1,L1,V1	9.503124593658372
159	K1,L1,V1	9.890653768847296
160	K1,L1,V1	9.103163652616406
161	H1,L1,V1	31.710818833284
162	H1,K1,L1,V1	8.956522237054067
163	H1,L1,V1	8.508506457660523
164	L1,V1	8.275983216444533
165	H1,V1	10.93159585568606
166	H1,K1,L1,V1	12.79331384887907
167	H1,K1,L1,V1	11.20666357687011
168	H1,K1,L1,V1	9.682120231727634
169	L1	9.706063181604987
170	H1,K1	8.698787871055696
171	K1,L1,V1	8.296109227894259
172	H1,K1,L1,V1	8.047199967846909
173	H1,K1,L1,V1	8.015516890767652
174	H1,K1	11.8886140835684
175	H1,L1,V1	9.187298397765451
176	H1,K1,L1,V1	8.742145221282316
177	H1,L1	8.0271035310131
178	H1,K1,V1	12.576954733251
179	H1,K1,L1,V1	9.576335072740498
180	H1,K1,L1,V1	8.281337609051398
181	H1,K1,L1,V1	8.431321542669149
182	H1,L1,V1	17.57570558248202
183	H1,K1,L1,V1	8.225503140534871
184	K1,L1,V1	8.969227230676458
185	H1,K1,L1	11.60949822525615
186	K1,L1,V1	11.32635055029305
187	K1,L1,V1	9.007281656282753
188	H1,K1,L1,V1	12.50493786720425
189	H1,K1,V1	10.82155244345577
190	H1,L1	9.989758180686644
191	H1,K1,L1,V1	10.47441997240722
192	H1,K1,L1	8.688698795978585
193	L1,V1	8.8373399541229
194	H1,K1,L1,V1	8.013291671358566
195	H1,K1,L1	29.01293987595059
196	H1,K1,L1,V1	8.265224273653585
197	H1,K1,L1,V1	8.023409268305411
198	H1,K1,L1,V1	9.192795647335942
199	H1,L1	9.142204504530879
200	H1,L1,V1	8.719788451364144
201	H1,K1,L1	8.192060948818263
202	H1,L1,V1	14.07962193995932
203	H1,L1,V1	10.97084468752949
204	H1,K1,L1	8.336107229470619
